type,uuid
vertebrates,b5d8168e-c310-4870-aa88-eeb3c25256fd
plants,b5e5c781-765f-4981-af2a-c19c250e2cf0
plants,b62cf6c0-e046-4c3f-9765-d0e046072b0f
plants,b7349341-c8e2-4628-be5f-77600ba730fa
plants,b8972f6b-c67f-45c0-b348-954866e04a0f
vertebrates,b8cbed64-5126-46bd-97aa-43627743aba7
plants,bbf5f8ed-f33f-40ba-9d0d-1c24dfec4193
non-arthropod invertebrates,bd61c458-b865-4b05-9f1f-735c49066e55
vertebrates,bd7cfd55-bf55-46fc-878d-e6e11f574ccd
plants,bdf65f9c-a730-4083-bd8d-a2def3037637
vertebrates,beb74dc2-22ea-49e4-b1e3-bedb8e06e8f2
fungi,beecd160-a96c-46fc-bdce-7dcb7024d473
plants,c0bb93c7-5906-43be-a2af-7f61078d5d7e
vertebrates,c38b867b-05f3-4733-802e-d8d2d3324f84
plants,c3a7b339-122e-4fe9-8851-371b1fdf584e
plants,c481fbc6-4bd7-4c50-8537-ba1993d4eb88
plants,c569e530-7322-40b8-9b66-1e0ed96fefcb
plants,c5d42fed-eed0-4e14-9625-f8a9c0ff6bb1
plants,c6e89321-fc23-4cba-ad79-be3e52edfb6d
plants,caaa464d-e290-4761-8550-75edc6d00119
plants,cb2e732c-20a8-4037-9ab0-67a59faeafb8
vertebrates,cc75bd05-251f-4cbb-afed-100cac9d7aa0
plants,ccba425a-25e0-4d94-8fde-3890be03ae1b
plants,cd177f63-761b-44f6-866e-ee19d2ac134e
plants,ce02a047-625d-4017-aeef-2c34e53824c8
plants,ced8c9bc-e8b5-49e7-860a-289fc913860c
fungi,cf641fbf-fa31-481a-993b-9204f2ee1884
plants,d29b9265-07e6-4e73-8f72-fc42d3d83fb1
plants,d2c71720-e156-4943-8182-0a7bbe477a37
plants,d6c6e57a-4ccb-4707-b87d-c91d01d6aa42
vertebrates,d70edfe9-c358-4bf3-96d2-22fddc702994
arthropods,d767f759-af64-4464-8614-c77ca44cad8d
vertebrates,d78c4f23-f6c4-42cd-8ddf-d5a98c351545
vertebrates,da1ef9b1-761b-4bc3-8ac0-b9a109101f5f
arthropods,db4bb0df-8539-4617-ab5f-eb118aa3126b
arthropods,ded380b5-1ba2-4089-8e0c-0aa1b4140785
plants,df516dc6-6ef0-426d-94e3-8a2bbb0439a5
plants,dfd53a42-8f63-4040-93a5-3f1347ce7686
plants,e0e37702-32af-405b-b652-ee54b5bb94e2
plants,e39f6dee-f2cf-4eff-afc9-4600cafe660c
fungi,e7ac8c4a-64bd-491b-b764-232de9b4bfe5
plants,e812c193-89b5-4da8-980d-e759ac50ffba
plants,e881a3e2-f7ba-43c8-ae9a-11fcbfd741bb
fungi,e95396c4-1cac-4c9b-b461-5f21cd978fc6
fungi,ec248223-f277-4c02-b1fa-60056b5a689a
fungi,ec4289d8-1114-43b9-9f04-ad809aa1dbe3
plants,ef04e127-bb7d-4bf0-82d3-767d43108f81
arthropods,ef30a918-b583-41f1-9ac4-4a37591b515a
plants,ef637c01-c551-4d47-8a48-4442b8ad5ecd
vertebrates,efc8b829-65b0-4fff-b6b2-f1148c68f80d
plants,f1a78c0f-449c-45fa-9472-0b92cc2a58da
plants,f33e9494-7b3c-4ac6-a735-59693b5a9638
plants,f3a5ec1a-49dd-4a52-8bd8-67cacae7a7ac
plants,f4214a7a-6793-48e0-ac41-9baff83096d3
fungi,f6298100-86ae-458f-9fb1-bbb3bb325422
arthropods,f83517ea-7b9f-443d-9371-d11a05ebc0a7
plants,fc40fabd-0a70-48fa-b142-79990cd259a5
arthropods,fc628e53-5fdf-4436-9782-bf637d812b48
plants,fccc3c1d-d9df-4ffd-b7e1-1b9eb11f95b1
plants,fd14095c-3658-4e00-8cec-729a89459e92
fungi,fdf7bb59-aad2-4f10-879f-6c0e7d3baa64
fungi,ff0d1543-247c-4039-a8ff-cf4fc224c449
arthropods,ff111763-e72d-4f24-8914-b5b2dd94908c
